 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Unidade da Federação e Escolaridade
Período:2010
"Unidade da Federação";"Sem instrução/1º ciclo fundamental incompleto";"1º ciclo fundamental completo/2º ciclo incompleto";"2º ciclo fundamental completo ou mais";"Não determinada";"Total"
"11 Rondônia";27,50;13,48;47,44;11,58;100,00
"12 Acre";31,95;8,96;48,13;10,96;100,00
"13 Amazonas";24,00;13,54;52,59;9,88;100,00
"14 Roraima";23,27;10,24;57,23;9,26;100,00
"15 Pará";28,60;14,36;45,70;11,33;100,00
"16 Amapá";19,45;11,34;60,04;9,17;100,00
"17 Tocantins";26,78;12,42;52,18;8,61;100,00
"21 Maranhão";34,03;12,93;43,99;9,04;100,00
"22 Piauí";36,37;13,06;41,62;8,95;100,00
"23 Ceará";30,42;11,47;48,27;9,84;100,00
"24 Rio Grande do Norte";28,02;14,48;48,05;9,44;100,00
"25 Paraíba";34,46;13,91;42,14;9,49;100,00
"26 Pernambuco";29,30;14,26;46,29;10,16;100,00
"27 Alagoas";35,20;15,26;40,04;9,50;100,00
"28 Sergipe";30,32;14,43;45,72;9,53;100,00
"29 Bahia";31,57;13,95;45,15;9,33;100,00
"31 Minas Gerais";24,64;14,39;51,17;9,81;100,00
"32 Espírito Santo";21,92;13,95;54,56;9,56;100,00
"33 Rio de Janeiro";15,71;12,91;62,59;8,79;100,00
"35 São Paulo";17,76;11,98;61,89;8,37;100,00
"41 Paraná";22,64;13,87;55,13;8,36;100,00
"42 Santa Catarina";18,75;13,32;58,05;9,88;100,00
"43 Rio Grande do Sul";17,66;15,58;55,12;11,64;100,00
"50 Mato Grosso do Sul";22,38;15,22;53,02;9,38;100,00
"51 Mato Grosso";23,91;12,79;52,80;10,49;100,00
"52 Goiás";22,49;13,64;54,47;9,39;100,00
"53 Distrito Federal";12,04;9,94;70,75;7,28;100,00
"Total";23,36;13,32;53,95;9,37;100,00
 Fonte: IBGE - Censos Demográficos
 Notas:
 
 As categorias de escolaridade utilizadas no Censo 2010 não são compatíveis com as utilizadas nos demais Censos. Veja as Notas Técnicas.
 
 Consulte o sítio do IBGE para mais informações.
